path	duration	loudness	crest	brightness	rolloff	flatness	noisiness	attack	low	high	pulse	density
From Digitakt/reicky_stop_bass.edit.wav	0.72579	0.79352	0.40884	0.75854	0.87489	0.22276	0.10823	1.00000	0.42846	0.32005	0.58073	0.20833
From Digitakt/reicky_stop_bass.wav	0.72579	0.79459	0.41081	0.80663	0.93025	0.34908	0.07772	0.90907	0.38879	0.38616	0.39440	0.20833
From Digitakt/saturday - degrade.wav	0.65048	0.71194	0.43232	0.65685	0.71890	0.10977	0.02074	0.67235	0.71515	0.13577	0.56911	0.31261
From Digitakt/saturday - ripped.2.wav	0.72619	0.64348	0.68401	0.84582	0.95767	0.36095	0.15199	1.00000	0.24837	0.46920	0.54944	1.00000
From Digitakt/saturday - slo.wav	0.56412	0.58772	0.67369	0.64317	0.75374	0.01342	0.21501	0.34423	0.35528	0.16700	0.59977	0.27700
From Digitakt/saturday ripp'd - 1.wav	0.57524	0.64267	0.71466	0.84375	0.95502	0.43531	0.12922	1.00000	0.20045	0.47105	0.26528	0.37505
From Digitakt/saturday ripp'd - 2.wav	0.50005	0.66855	0.66290	0.86527	0.96942	0.48669	0.89007	0.91055	0.21151	0.51246	0.46456	0.33317
From Digitakt/saturday ripp'd - 3.wav	0.50016	0.57825	0.84349	0.90854	0.97952	0.53736	1.00000	0.26265	0.13588	0.65254	0.02924	0.24962
From Digitakt/saturday ripp'd - 4.wav	0.50002	0.66852	0.66297	0.80969	0.93614	0.33183	0.38465	0.28885	0.33377	0.37441	0.31891	0.24996
From Digitakt/saturday ripp'd - 5.wav	0.42442	0.47583	0.54669	0.91192	0.97952	0.34995	0.31356	0.35010	0.30433	0.60880	0.32802	1.00000
From Digitakt/saturday ripp'd - 6.wav	0.50003	0.42389	0.92291	0.91330	0.97931	0.55329	1.00000	0.81790	0.08019	0.68911	0.56163	0.41655
From Digitakt/saturday-degradeT2.000.wav	0.72623	0.73305	0.53391	0.58345	0.41024	0.03618	0.01903	0.67363	0.78072	0.08313	0.51495	0.43750
From Digitakt/saturday-degradeT4.000.wav	0.59228	0.69062	0.46278	0.69035	0.80232	0.16190	0.02142	0.82624	0.58890	0.17441	0.75685	0.42746
From Digitakt/saturday-degradeUSIMCeramic_hi2.wav	0.53713	0.63698	0.45476	0.64880	0.68950	0.02238	0.16774	1.00000	0.20267	0.05959	0.29276	0.23679
From Digitakt/saturday2.wav	0.69608	0.78378	0.42262	0.83349	0.96192	0.29932	0.17826	1.00000	0.28830	0.39827	0.42128	0.45833
From Digitakt/saturday_afternoon.wav	0.72378	0.78702	0.41615	0.83349	0.96192	0.29932	0.17826	1.00000	0.28830	0.39827	0.42128	0.45833
